1	Tom Hanks	399	6	1.2
2	Mel Gibson	366	5	2.8
3	Tom Cruise	365	4	1.3
4	Arnold Schwarzenegger	352	4	3.3
5	Harrison Ford	323	4	3.3
6	Michelle Pfeiffer	294	5	6.8
7	Kevin Costner	291	4	5.5
8	Sylvester Stallone	289	4	7.8
9	Charlie Sheen	284	5	7.2
10	John Candy	279	4	4.8
11	Michael J. Fox	271	4	4.0
12	Eddie Murphy	265	3	1.0
13	Al Pacino	255	3	1.7
14	Robert De Niro	244	4	1.0
15	Sigourney Weaver	244	3	3.0
16	Sean Connery	243	3	5.7
17	Chevy Chase	234	4	5.5
18	Robin Williams	226	3	4.3
19	Steve Martin	219	3	4.0
20	Bruce Willis	212	3	1.3
21	Bill Murray	204	3	2.3
22	Bette Midler	202	3	1.0
23	Patrick Swayze	199	3	1.0
24	Steven Seagal	196	3	6.7
25	Rick Moranis	187	2	2.0
26	Christopher Lloyd	185	2	2.0
27	Meg Ryan	184	3	2.0
28	Macaulay Culkin	183	2	2.5
29	Danny DeVito	183	2	2.5
30	Emilio Estevez	183	3	7.0
31	Mary Steenburgen	181	2	5.0
32	Melanie Griffith	178	3	2.0
33	Joe Pesci	176	2	2.5
34	John Travolta	172	2	1.0
35	Keanu Reeves	160	2	3.0
36	Michael Douglas	159	2	1.0
37	Richard Gere	157	2	5.5
38	Kurt Russell	155	2	10.0
39	Michael Keaton	154	2	4.5
40	Kathleen Turner	154	2	6.0
41	Clint Eastwood	148	3	3.7
42	Demi Moore	147	2	6.0
43	Robert Downey, Jr.	146	3	2.0
44	Matthew Broderick	137	2	1.0
45	Tom Berenger	137	2	1.5
46	Steve Guttenberg	135	2	10.0
47	James Belushi	131	3	1.0
48	Spike Lee	124	3	4.3
49	Julia Roberts	124	2	6.0
50	Dustin Hoffman	121	2	5.5
51	Susan Sarandon	119	2	10.0
52	Charles Grodin	113	2	3.5
53	Liam Neeson	104	2	2.0
54	Meryl Streep	103	2	5.5
55	Daniel Stern	100	1	3.0
56	Catherine O'Hara	100	1	4.0
57	John Heard	100	1	5.0
58	Bob Hoskins	99	1	1.0
59	Denholm Elliott	99	1	2.0
60	Alison Doody	99	1	3.0
61	John Rhys-Davies	99	1	4.0
62	Michael Byrne	99	1	8.0
63	Danny Glover	98	1	2.0
64	Kirstie Alley	97	1	2.0
65	Jean-Claude Van Damme	96	4	0.8
66	Thomas Brown	96	1	5.0
67	Jared Rushton	96	1	6.0
68	Amy O'Neill	96	1	7.0
69	Robert Oliveri	96	1	8.0
70	Paul Hogan	95	1	1.0
71	Linda Kozlowski	95	1	2.0
72	Morgan Freeman	92	1	1.0
73	Warren Beatty	92	1	1.0
74	Jessica Tandy	92	1	2.0
75	Madonna	92	1	2.0
76	William Forsythe	92	1	4.0
77	R.G. Armstrong	92	1	5.0
78	Alec Baldwin	91	1	1.0
79	Denzel Washington	91	2	1.5
80	Tom Hulce	91	1	2.0
81	Geena Davis	91	1	2.0
82	Martha Plimpton	91	1	4.0
83	Jason Robards, Jr.	91	1	6.0
84	Dianne Wiest	91	1	8.0
85	Zachary Lavoy	91	1	19.0
86	Erika Rafuls	91	1	27.0
87	Billy Crystal	89	1	1.0
88	Val Kilmer	87	1	1.0
89	Nick Nolte	87	1	2.0
90	Joanne Whalley	87	1	2.0
91	Warwick Davis	87	1	3.0
92	Barbara Hershey	86	1	2.0
93	Matthew Modine	85	2	1.5
94	Goldie Hawn	85	1	2.0
