2	Kevin Costner	389	5	2.8
3	Michael J. Fox	355	5	4.6
4	Steve Martin	345	5	5.8
5	Julia Roberts	343	4	5.0
6	Keanu Reeves	299	4	2.0
7	Al Pacino	299	4	2.5
8	Mel Gibson	292	4	1.0
9	Charlie Sheen	288	5	7.4
10	Arnold Schwarzenegger	284	3	1.0
11	Christopher Lloyd	279	3	2.3
12	Patrick Swayze	271	4	1.0
13	Macaulay Culkin	262	3	2.0
14	Nick Nolte	261	3	2.0
15	Robert De Niro	260	4	1.0
16	Harrison Ford	259	3	1.0
17	Bruce Willis	259	5	3.0
18	Sylvester Stallone	249	4	5.5
19	Tom Hanks	245	4	1.0
20	John Candy	244	4	6.8
21	Sean Connery	243	3	5.7
22	Meg Ryan	219	3	3.3
23	Steven Seagal	218	3	3.7
24	Bill Murray	197	3	2.3
25	Rick Moranis	187	2	2.0
26	Jessica Tandy	182	2	2.0
27	Mary Steenburgen	181	2	5.0
28	Joe Pesci	176	2	2.5
29	John Travolta	172	2	1.0
30	Tom Cruise	172	2	1.0
31	Kathy Bates	172	2	1.5
32	Jean-Claude Van Damme	170	5	0.8
33	Eddie Murphy	167	2	1.0
34	Robert Downey, Jr.	167	3	2.3
35	Michael Douglas	159	2	1.0
36	Richard Gere	157	2	5.5
37	Richard Dreyfuss	152	2	1.0
38	Danny DeVito	151	2	2.0
39	Chevy Chase	150	2	5.5
40	Jodie Foster	146	2	0.5
41	Dustin Hoffman	145	3	7.0
42	Goldie Hawn	138	2	1.5
43	Michelle Pfeiffer	136	3	6.3
44	Alex Winter	136	2	6.5
45	Demi Moore	134	2	6.0
46	Meryl Streep	133	3	4.3
47	James Belushi	131	3	1.0
48	Denzel Washington	131	3	1.3
49	Wesley Snipes	131	2	5.5
50	James Caan	115	2	1.5
51	Ethan Hawke	112	2	2.0
52	Susan Sarandon	108	2	5.5
53	Robert Englund	105	2	2.5
54	Liam Neeson	104	2	2.0
55	Emilio Estevez	104	2	10.0
56	Daniel Stern	100	1	3.0
57	Catherine O'Hara	100	1	4.0
58	John Heard	100	1	5.0
59	Denholm Elliott	99	1	2.0
60	Alison Doody	99	1	3.0
61	John Rhys-Davies	99	1	4.0
62	Michael Byrne	99	1	8.0
63	Anjelica Huston	98	2	1.5
64	Danny Glover	98	1	2.0
65	Mary Elizabeth Mastrantonio	98	1	5.0
66	Anthony Hopkins	97	1	2.0
67	Kirstie Alley	97	1	2.0
68	Thomas Brown	96	1	5.0
69	Jared Rushton	96	1	6.0
70	Kathleen Turner	96	2	6.0
71	Amy O'Neill	96	1	7.0
72	Robert Oliveri	96	1	8.0
73	Bob Hoskins	95	1	4.0
74	Raul Julia	94	1	1.0
75	Sigourney Weaver	94	1	5.0
76	Warren Beatty	92	1	1.0
77	Morgan Freeman	92	1	1.0
78	Madonna	92	1	2.0
79	Kimberly Williams-Paisley	92	1	3.0
80	William Forsythe	92	1	4.0
81	R.G. Armstrong	92	1	5.0
82	Tom Hulce	91	1	2.0
83	Martha Plimpton	91	1	4.0
84	Jason Robards, Jr.	91	1	6.0
85	Dianne Wiest	91	1	8.0
86	Zachary Lavoy	91	1	19.0
87	Erika Rafuls	91	1	27.0
88	Billy Crystal	89	1	1.0
89	Jessica Lange	89	1	3.0
90	Juliette Lewis	89	1	7.0
91	Melanie Griffith	88	2	2.0
92	Spike Lee	88	2	4.0
93	Steve Guttenberg	86	1	10.0
94	Tom Berenger	85	2	1.0
95	Barbra Streisand	85	1	1.0
96	Matthew Modine	85	2	1.5
97	Elaine Bromka	83	1	2.0
98	Garrett M. Brown	83	1	3.0
99	Gaby Hoffmann	83	1	5.0
100	Jean Louisa Kelly	83	1	6.0
101	Whoopi Goldberg	82	2	7.0
102	Johnny Depp	81	1	1.0
103	Winona Ryder	81	1	2.0
104	Kurt Russell	81	1	10.0
105	Damon Wayans	80	1	2.0
106	Anna Chlumsky	79	1	2.0
107	Dale Midkiff	78	1	1.0
108	Ice Cube	78	1	1.0
109	Cuba Gooding, Jr.	78	1	2.0
110	Morris Chestnut	78	1	3.0
111	Keith Coogan	78	2	3.5
112	Clint Eastwood	76	2	0.5
113	Ray Liotta	76	1	2.0
114	William Shatner	75	1	10.0
115	Andrew McCarthy	75	2	10.0
116	Bette Midler	74	2	1.0
117	Corbin Bernsen	74	1	3.0
118	Bill Campbell	74	1	10.0
119	Geena Davis	73	1	2.0
120	Annette Bening	71	1	2.0
121	Holly Hunter	71	1	2.0
122	John Goodman	71	1	3.0
123	Glenn Close	70	2	1.5
124	Cher	67	1	10.0
125	Ralph Macchio	67	1	10.0
126	John Cusack	66	2	5.5
127	William Hurt	66	1	10.0
128	Sally Field	65	1	1.0
129	Kevin Kline	65	1	2.0
130	Timothy Dalton	65	1	4.0
131	Elisabeth Shue	65	1	6.0
132	Teri Hatcher	65	1	7.0
133	Gerard Depardieu	64	1	1.0
134	Andie MacDowell	64	1	2.0
135	Michael Keaton	63	1	3.0
136	Kelly Lynch	62	1	3.0
137	Alisan Porter	60	1	3.0
138	Matthew Broderick	59	1	1.0
139	Danny Aiello	56	1	1.0
140	Annabella Sciorra	56	1	2.0
141	Tim Robbins	55	1	1.0
142	George C. Scott	53	1	1.0
143	Robert Loggia	52	1	1.0
144	Kathy Ireland	52	1	2.0
145	Scott Bakula	52	1	3.0
146	Harley Jane Kozak	52	1	4.0
147	Sinbad	52	1	5.0
148	Hector Elizondo	52	1	6.0
149	Christina Applegate	51	1	1.0
150	Joanna Cassidy	51	1	2.0
151	Ione Skye	51	1	2.0
152	John Getz	51	1	3.0
153	Josh Charles	51	1	5.0
154	Jack Lemmon	50	1	1.0
155	Ted Danson	50	1	2.0
156	James Woods	48	1	2.0
157	Paul Newman	47	1	10.0
158	John Ritter	46	1	1.0
159	Christian Slater	44	2	6.0
160	Beau Bridges	43	1	1.0
161	Jeff Bridges	43	1	2.0
162	Andrew Dice Clay	42	1	1.0
163	Tom Selleck	42	1	1.0
164	Paulina Porizkova	42	1	2.0
165	Priscilla Presley	42	1	2.0
166	Ed O'Neill	42	1	3.0
167	Gilbert Gottfried	42	1	5.0
168	Lauren Holly	42	1	6.0
169	Maddie Corman	42	1	7.0
170	Tone Loc	42	1	8.0
171	Wayne Newton	42	1	9.0
172	Trini Alvarado	41	1	2.0
173	Ally Sheedy	41	1	10.0
174	Charles Grodin	40	1	2.0
175	John Lithgow	40	1	2.0
176	Rebecca Harrell Tickell	40	1	7.0
177	Nicolas Cage	39	2	0.5
178	Alan Alda	39	1	1.0
179	Madeline Kahn	39	1	3.0
180	Molly Ringwald	39	1	8.0
181	Dylan Walsh	39	1	13.0
182	Cybill Shepherd	37	1	1.0
183	Ryan O'Neal	37	1	3.0
184	Mary Stuart Masterson	37	1	4.0
185	Kevin Bacon	34	1	1.0
186	Fred Ward	34	1	2.0
187	Finn Carter	34	1	3.0
188	Deborah Harry	33	1	1.0
189	David Johansen	33	1	3.0
190	William Hickey	33	1	4.0
191	Fred Savage	32	1	1.0
192	Jenny Lewis	32	1	4.0
193	Luke Edwards	32	1	5.0
194	Daniel Day-Lewis	31	1	0.0
195	Albert Brooks	30	1	1.0
196	Dennis Quaid	30	1	10.0
197	Loren Dean	29	1	10.0
198	Nicole Kidman	29	1	10.0
199	Bernadette Peters	28	1	2.0
200	Sean Astin	27	1	1.0
201	Wil Wheaton	27	1	2.0
202	George Perez	27	1	8.0
203	T.E. Russell	27	1	9.0
204	Jeremy Irons	26	1	2.0
205	Ron Silver	26	1	3.0
206	Danielle Harris	25	1	2.0
207	Don Shanks	25	1	7.0
208	Bubba Smith	24	1	1.0
209	Michael Winslow	24	1	2.0
210	David Graf	24	1	3.0
211	Marion Ramsey	24	1	4.0
212	Leslie Easterbrook	24	1	5.0
213	Lance Kinsey	24	1	6.0
214	Bruce Mahler	24	1	7.0
215	Kenneth Mars	24	1	8.0
216	Matt McCoy	24	1	9.0
217	G.W. Bailey	24	1	10.0
218	George Gaynes	24	1	11.0
219	Daphne Zuniga	22	1	2.0
220	Matt Dillon	21	1	0.0
221	Balthazar Getty	18	1	1.0
222	Christopher Lambert	18	1	10.0
223	Jim Varney	17	1	1.0
224	Sean Penn	17	1	2.0
225	Phoebe Cates	14	1	1.0
226	Rob Lowe	14	1	1.0
227	James Spader	14	1	2.0
228	Rik Mayall	14	1	2.0
229	Lisa Zane	14	1	3.0
230	Alec Baldwin	13	1	1.0
231	Philippe Noiret	13	1	1.0
232	Kim Basinger	13	1	2.0
233	Salvatore Cascio	13	1	5.0
234	David Andrews	12	1	1.0
235	Kelly Wolf	12	1	2.0
236	Stephen Macht	12	1	3.0
237	Brad Dourif	12	1	4.0
238	Sharon Stone	12	1	10.0
239	Dana Carvey	10	1	1.0
240	Frank Whaley	7	1	1.0
241	Jennifer Connelly	7	1	2.0
242	Robbie Coltrane	6	1	1.0
243	Eric Idle	6	1	2.0
244	Janet Suzman	6	1	3.0
245	Camille Coduri	6	1	4.0
246	Gene Hackman	5	1	1.0
247	Anne Archer	5	1	2.0
248	Mai Zetterling	4	1	2.0
249	Jasen Fisher	4	1	3.0
250	Jack Nicholson	3	1	1.0
