1	Kevin Costner	401	5	2.8
2	Steve Martin	379	6	6.5
3	Mel Gibson	365	5	0.8
4	Robin Williams	344	5	5.0
5	Julia Roberts	343	4	5.0
6	Bruce Willis	336	6	2.8
7	Al Pacino	311	5	2.2
8	Steven Seagal	306	4	3.0
9	Goldie Hawn	293	4	4.0
10	Arnold Schwarzenegger	284	3	1.0
11	Wesley Snipes	281	4	5.5
12	Macaulay Culkin	278	3	1.0
13	Joe Pesci	275	3	2.3
14	Tom Cruise	264	3	1.0
15	Nick Nolte	261	3	2.0
16	Harrison Ford	247	3	1.0
17	Robert De Niro	243	3	1.0
18	Eddie Murphy	237	3	0.3
19	Demi Moore	230	3	5.0
20	Michael J. Fox	215	3	4.0
21	Charlie Sheen	214	4	8.8
22	Richard Gere	213	3	7.0
23	Sean Connery	210	3	4.0
24	Emilio Estevez	204	4	10.0
25	Daniel Stern	199	2	3.0
26	Patrick Swayze	196	3	4.0
27	Michelle Pfeiffer	191	3	6.0
28	Tom Hanks	185	3	1.0
29	Christopher Lloyd	184	2	2.5
30	Madonna	183	2	2.5
31	Jean-Claude Van Damme	182	4	0.8
32	Whoopi Goldberg	177	3	5.0
33	Meryl Streep	175	3	4.3
34	Kathy Bates	172	2	1.5
35	Sylvester Stallone	170	3	1.0
36	Meg Ryan	167	3	6.0
37	Geena Davis	164	2	2.0
38	Danny DeVito	162	2	2.0
39	Michael Keaton	161	2	2.0
40	Dustin Hoffman	159	3	7.0
41	Jack Nicholson	150	3	1.3
42	Anthony Hopkins	150	2	1.5
43	Jodie Foster	146	2	0.5
44	Annabella Sciorra	145	2	1.5
45	Denzel Washington	141	3	4.0
46	John Candy	141	2	8.0
47	Keanu Reeves	139	2	1.0
48	Clint Eastwood	138	2	0.5
49	Michael Douglas	138	2	7.0
50	Robert Downey, Jr.	130	2	2.5
51	Kurt Russell	124	2	1.5
52	Charles Grodin	115	2	1.5
53	James Caan	115	2	1.5
54	Nicole Kidman	109	2	6.0
55	Susan Sarandon	108	2	5.5
56	Robert Englund	105	2	2.5
57	Sharon Stone	104	2	6.0
58	Bill Murray	103	2	1.5
59	Dana Carvey	103	2	5.5
60	Bridget Fonda	102	2	1.0
61	Catherine O'Hara	100	1	4.0
62	John Heard	100	1	5.0
63	Tim Robbins	100	2	5.5
64	Nicolas Cage	99	3	0.3
65	Anjelica Huston	98	2	1.5
66	Mary Elizabeth Mastrantonio	98	1	5.0
67	Danny Glover	97	1	12.0
68	Gene Hackman	95	2	1.5
69	Bob Hoskins	95	1	4.0
70	Raul Julia	94	1	1.0
71	Whitney Houston	94	1	2.0
72	Mike Myers	93	1	10.0
73	Warren Beatty	92	1	1.0
74	Kimberly Williams-Paisley	92	1	3.0
75	William Forsythe	92	1	4.0
76	R.G. Armstrong	92	1	5.0
77	Jessica Tandy	90	1	2.0
78	Mary Steenburgen	90	1	3.0
79	Morgan Freeman	90	1	3.0
80	Richard Harris	90	1	4.0
81	Kim Basinger	90	3	4.3
82	Rebecca De Mornay	89	1	2.0
83	Jessica Lange	89	1	3.0
84	Matt McCoy	89	1	3.0
85	Juliette Lewis	89	1	7.0
86	Melanie Griffith	88	2	2.0
87	Gary Oldman	86	1	1.0
88	Steve Guttenberg	86	1	10.0
