1	Steve Guttenberg	533	7	4.4
2	John Candy	405	6	5.0
3	Chevy Chase	340	4	1.3
4	Danny DeVito	327	4	2.5
5	Sylvester Stallone	321	4	3.3
6	Steve Martin	307	4	1.8
7	Tom Hanks	288	4	1.3
8	Arnold Schwarzenegger	287	4	3.3
9	Michael J. Fox	287	4	5.5
10	Eddie Murphy	272	3	4.3
11	Michael Douglas	268	3	5.3
12	Bette Midler	266	3	2.0
13	Emilio Estevez	256	3	4.7
14	Andrew McCarthy	251	4	6.0
15	Kathleen Turner	245	3	8.0
16	Corey Feldman	244	3	2.7
17	Ally Sheedy	243	3	6.7
18	Kevin Costner	240	3	7.3
19	Tom Cruise	236	3	1.3
20	Cher	233	3	7.3
21	Nicolas Cage	232	3	10.0
22	Chuck Norris	227	5	6.4
23	Jack Nicholson	224	3	7.0
24	Shelley Long	207	3	1.7
25	Rob Lowe	199	3	4.0
26	William Hurt	199	3	10.0
27	Demi Moore	195	3	4.3
28	Molly Ringwald	191	3	2.3
29	Robert Redford	183	2	5.5
30	Dan Aykroyd	178	2	1.5
31	Charlie Sheen	174	2	6.5
32	Mel Gibson	169	2	5.5
33	Clint Eastwood	165	2	0.0
34	Judd Nelson	163	2	4.5
35	Hume Cronyn	161	2	2.0
36	Daryl Hannah	161	2	2.5
37	Jessica Tandy	161	2	5.0
38	Meryl Streep	160	2	10.0
39	Brian Dennehy	152	2	7.0
40	Bubba Smith	149	2	2.0
41	David Graf	149	2	3.5
42	Michael Winslow	149	2	3.5
43	Marion Ramsey	149	2	7.5
44	Colleen Camp	149	2	7.5
45	George Gaynes	149	2	11.5
46	Rick Moranis	148	2	2.0
47	Matthew Broderick	146	2	1.0
48	Michelle Pfeiffer	145	2	3.5
49	Patrick Swayze	137	2	2.0
50	Harrison Ford	136	2	10.0
51	Anthony Michael Hall	135	2	2.0
52	River Phoenix	132	2	6.0
53	Eric Stoltz	129	2	2.0
54	Goldie Hawn	125	2	1.0
55	Whoopi Goldberg	125	3	9.3
56	Dennis Quaid	125	3	10.0
57	John Cusack	119	3	4.3
58	Diane Keaton	118	2	10.0
59	Tom Berenger	116	2	1.0
60	Susan Sarandon	116	2	6.5
61	Jon Cryer	112	2	4.0
62	Sharon Stone	108	2	8.0
63	Bobcat Goldthwait	102	2	7.5
64	Tom Selleck	100	1	1.0
65	Kelly McGillis	100	1	2.0
66	Ted Danson	100	1	3.0
67	Paul Hogan	99	1	1.0
68	Glenn Close	99	1	2.0
69	Willem Dafoe	98	1	2.0
70	Ralph Macchio	97	1	1.0
71	Pat Morita	97	1	2.0
72	Margaret Avery	97	1	3.0
73	Robin Williams	97	1	10.0
74	William Shatner	96	1	1.0
75	Leonard Nimoy	96	1	2.0
76	DeForest Kelley	96	1	3.0
77	James Doohan	96	1	4.0
78	George Takei	96	1	5.0
79	Walter Koenig	96	1	6.0
80	Nichelle Nichols	96	1	7.0
