1	Mel Gibson	340	4	1.0
2	Ben Affleck	300	6	1.0
3	Ian McKellen	291	3	2.3
4	Robert De Niro	286	7	1.3
5	Sandra Bullock	271	5	1.0
6	Samuel L. Jackson	267	4	1.8
7	Tom Hanks	266	3	1.3
8	Tom Cruise	263	3	1.0
9	Shannon Elizabeth	247	4	3.0
10	Bruce Willis	245	4	1.0
11	Brad Pitt	240	4	2.8
12	Jennifer Lopez	240	5	4.6
13	George Clooney	234	3	1.0
14	Julia Roberts	231	3	1.3
15	Tommy Lee Jones	231	3	1.3
16	Ben Stiller	229	4	2.0
17	Eddie Murphy	225	4	1.3
18	Hugh Jackman	224	4	2.3
19	Denzel Washington	217	3	1.0
20	Diane Lane	214	4	4.5
21	Vin Diesel	213	3	1.3
22	Russell Crowe	210	3	1.3
23	Josh Hartnett	207	3	1.3
24	Richard Gere	207	4	3.8
25	Morgan Freeman	206	4	1.8
26	Matt Damon	204	4	3.8
27	Nicolas Cage	204	5	4.6
28	Maggie Smith	203	3	10.7
29	Jackie Chan	201	3	1.0
30	Leonardo DiCaprio	198	3	1.0
31	Elijah Wood	198	2	1.0
32	Viggo Mortensen	198	2	4.0
33	Daniel Radcliffe	197	2	1.0
34	Rupert Grint	197	2	2.0
35	Emma Watson	197	2	3.0
36	Jim Carrey	196	3	1.0
37	Nicole Kidman	184	3	1.7
38	Anthony Hopkins	176	3	1.0
39	Billy Crystal	176	2	2.0
40	Edward Norton	176	3	2.0
41	Cuba Gooding, Jr.	175	3	2.3
42	Will Smith	174	3	1.3
43	Seann William Scott	174	3	4.3
44	Renée Zellweger	173	3	1.3
45	Catherine Zeta-Jones	169	2	2.0
46	Angelina Jolie	165	2	1.5
47	Téa Leoni	163	2	2.5
48	Michelle Rodriguez	162	3	2.3
49	Reese Witherspoon	161	2	1.0
50	Shawn Wayans	161	2	2.0
51	Anna Faris	161	2	3.0
52	Marlon Wayans	161	2	3.0
53	Ewan McGregor	157	2	1.5
54	Cameron Diaz	156	3	1.7
55	Antonio Banderas	154	2	1.0
56	Carla Gugino	154	2	2.0
57	Gwyneth Paltrow	154	3	2.7
58	Alexa Vega	154	2	3.0
59	Daryl Sabara	154	2	4.0
60	Johnny Depp	152	4	2.0
61	Ice Cube	149	4	3.3
62	Michael Douglas	145	3	7.0
63	Gene Hackman	144	4	2.0
64	Kate Beckinsale	143	2	2.5
65	John Cusack	142	3	2.0
66	Teri Polo	141	2	3.5
67	Patrick Stewart	140	2	1.0
68	Brendan Fraser	133	2	1.0
69	Matthew Lillard	132	2	3.0
70	Michelle Pfeiffer	131	2	6.0
71	Jude Law	128	2	2.0
72	Michael Clarke Duncan	128	2	4.0
73	Natalie Portman	125	2	6.0
74	Adam Sandler	122	2	1.0
75	Helen Hunt	122	2	2.0
76	John Travolta	120	3	1.0
77	Winona Ryder	118	2	2.0
78	Harrison Ford	117	2	1.0
79	Martin Lawrence	116	2	1.0
80	Chris Rock	114	4	3.0
81	Keanu Reeves	111	4	3.3
82	Deon Richmond	110	2	6.5
83	Dennis Quaid	109	2	1.0
84	Jack Black	109	2	2.0
85	Drew Barrymore	108	2	1.5
86	David Arquette	105	2	1.0
87	Meg Ryan	104	3	1.0
88	Orlando Jones	104	3	2.0
89	Tobey Maguire	100	1	1.0
90	Robbie Coltrane	100	1	5.0
91	Richard Harris	100	1	8.0
92	Alan Rickman	100	1	11.0
93	Haley Joel Osment	99	2	2.0
94	John Goodman	98	1	1.0
95	James Caviezel	98	2	1.5
96	Hayden Christensen	98	1	3.0
97	Kenneth Branagh	97	1	4.0
98	Nia Vardalos	96	1	1.0
99	John Corbett	96	1	2.0
100	Chris Tucker	96	1	2.0
101	Rachel Weisz	95	1	2.0
102	Arnold Vosloo	95	1	4.0
103	William Fichtner	95	1	5.0
104	Oded Fehr	95	1	5.0
105	Mike Myers	94	1	1.0
106	Beyoncé Knowles	94	1	2.0
107	Michael Caine	94	1	3.0
108	Blythe Danner	94	1	3.0
109	Verne Troyer	94	1	4.0
110	Andy Garcia	93	1	3.0
111	Sam Neill	92	1	1.0
112	William H. Macy	92	1	2.0
113	Cheri Oteri	92	1	3.0
114	Alessandro Nivola	92	1	4.0
115	Trevor Morgan	92	1	5.0
116	Michael Jeter	92	1	6.0
117	Mark Wahlberg	91	1	1.0
118	Jennifer Love Hewitt	91	2	2.0
119	Pierce Brosnan	89	1	1.0
120	Paul Walker	89	2	1.5
121	Halle Berry	89	1	2.0
122	Wesley Snipes	89	2	5.5
123	Tim Allen	89	2	5.5
124	Chow Yun-Fat	89	1	10.0
125	Zhang Ziyi	89	1	10.0
126	Freddie Prinze, Jr.	88	1	1.0
127	Jason Biggs	88	1	1.0
128	Sarah Michelle Gellar	88	1	2.0
129	Alyson Hannigan	88	1	3.0
130	Ashley Judd	88	3	4.0
131	Linda Cardellini	88	1	4.0
132	Chris Klein	88	1	4.0
133	Natasha Lyonne	88	1	5.0
134	Thomas Ian Nicholas	88	1	6.0
135	Tara Reid	88	1	7.0
136	Mena Suvari	88	1	9.0
137	Eddie Kaye Thomas	88	1	10.0
138	Eugene Levy	88	1	11.0
139	Lucy Alexis Liu	87	1	3.0
140	Jordana Brewster	87	1	4.0
141	Asia Argento	86	1	2.0
142	Clint Eastwood	84	2	1.0
143	Alan Cumming	84	1	5.0
144	Naomi Watts	83	1	1.0
145	Julianne Moore	83	2	3.0
146	Julie Andrews	82	1	1.0
147	Anne Hathaway	82	1	2.0
148	Rob Schneider	81	2	1.0
149	Sean Patrick Thomas	81	2	5.0
150	Franka Potente	80	1	2.0
151	Robin Williams	79	2	6.0
152	Eminem	78	1	1.0
