1	Jennifer Lawrence	454	6	2.2
2	Chris Hemsworth	421	7	1.9
3	Dwayne Johnson	392	6	2.2
4	Bradley Cooper	390	5	1.4
5	Jeremy Renner	387	5	3.2
6	Channing Tatum	373	6	2.2
7	Mark Wahlberg	313	5	1.0
8	Morgan Freeman	295	5	4.6
9	Robert Downey, Jr.	291	3	1.0
10	Liam Neeson	282	5	2.4
11	Tom Hiddleston	280	3	4.3
12	Kristen Stewart	277	3	1.0
13	Hugh Jackman	272	4	1.0
14	Leonardo DiCaprio	261	4	1.5
15	Melissa McCarthy	254	3	3.3
16	James Franco	247	3	1.0
17	Idris Elba	247	3	6.0
18	Bruce Willis	245	5	1.2
19	Daniel Craig	242	3	1.0
20	Robert Pattinson	238	3	2.0
21	Tom Cruise	238	4	3.0
22	Jennifer Aniston	237	3	2.3
23	Zach Galifianakis	234	3	2.7
24	Natalie Portman	230	3	1.7
25	Tommy Lee Jones	226	3	2.0
26	Adam Sandler	225	4	1.0
27	Matt Damon	222	4	1.3
28	Anthony Hopkins	222	4	3.3
29	Johnny Depp	219	3	1.0
30	Jude Law	216	4	4.8
31	Vin Diesel	213	3	1.0
32	Simon Pegg	208	4	2.8
33	Helena Bonham Carter	206	3	5.0
34	Kevin James	204	4	1.5
35	Denzel Washington	200	3	1.3
36	Ben Kingsley	196	3	4.0
37	Jason Sudeikis	195	3	2.3
38	Martin Freeman	193	3	2.3
39	Taylor Lautner	193	2	3.0
40	Chris Evans	189	2	1.5
41	Paul Walker	187	2	2.5
42	George Clooney	186	3	1.3
43	Ryan Reynolds	186	4	1.5
44	Tom Wilkinson	185	3	7.0
45	Emma Stone	184	3	3.3
46	Christian Bale	183	2	1.0
47	Sacha Baron Cohen	183	3	3.3
48	Sandra Bullock	181	2	1.0
49	Harrison Ford	180	3	2.0
50	Michael Peña	176	4	6.0
51	Jason Bateman	175	3	1.3
52	Robert De Niro	175	5	2.8
53	Mark Ruffalo	174	2	2.5
54	Noomi Rapace	169	2	2.0
55	Amy Adams	168	3	2.0
56	Ed Helms	168	2	2.0
57	Justin Bartha	168	2	4.0
58	Rachel McAdams	167	2	2.5
59	Don Cheadle	167	2	3.5
60	Maya Rudolph	167	2	4.0
61	Ralph Fiennes	164	2	2.0
